year,fips,county_name,state,m_bac,m_iac,m_aac,m_nac,m_wac,f_bac,f_iac,f_aac,f_nac,f_wac,t_hisp,m_hisp,f_hisp,black firms,land area,>= bachelor,hawaiian firms,total firms,native american firms,pop density,non_english,same house > 1 yr,veterans,multiunit housing,asian firms,home value,nonfarm empl % change,homeownership rate,hispanic firms,nonfarm homes,>= high school,retail sales,service sector sales,age > 65,merchant wholesaler sales,avg commute,nonemployer establishments,retail sales per capita,foreign_born,peeps per house,households,age < 18,building permits,nonfarm empl,manufacturing shipments,income per cap,below poverty,age < 5,housing units,women firms,household income,total_votes,votes_dem,votes_rep
2012,1001,Autauga County,Alabama,5014,273,329,52,21693,5517,314,455,36,22400,1429,763,666,15.2,594.44,20.9,0.0,4067.0,0.0,91.8,3.5,85.0,5922.0,8.3,1.3,136200.0,2.1,76.8,0.7,817.0,85.6,598175.0,88157.0,13.8,0.0,26.2,2947.0,12003.0,1.6,2.71,20071.0,25.2,131.0,10120.0,0.0,24571.0,12.1,6.0,22751.0,31.7,53682.0,23909.0,6354.0,17366.0
2012,1003,Baldwin County,Alabama,9265,1410,952,129,82544,9957,1446,1218,137,86429,8923,4799,4124,2.7,1589.78,27.7,0.0,19035.0,0.4,114.6,5.5,82.1,19346.0,24.4,1.0,168600.0,3.7,72.6,1.3,4871.0,89.1,2966489.0,436955.0,18.7,0.0,25.9,16508.0,17166.0,3.6,2.52,73283.0,22.2,1384.0,54988.0,1410273.0,26766.0,13.9,5.6,107374.0,27.3,50221.0,84988.0,18329.0,65772.0
2012,1005,Barbour County,Alabama,6956,151,78,36,7485,6068,105,77,24,6427,1314,771,543,0.0,884.88,13.4,0.0,1667.0,0.0,31.0,5.0,84.8,2120.0,10.6,0.0,89200.0,-5.6,67.7,0.0,464.0,73.7,188337.0,0.0,16.5,0.0,24.6,1546.0,6334.0,2.9,2.66,9200.0,21.2,8.0,6611.0,0.0,16829.0,26.7,5.7,11799.0,27.0,32911.0,11459.0,5873.0,5539.0
2012,1007,Bibb County,Alabama,3126,90,30,32,9053,1942,93,35,12,8449,500,339,161,14.9,622.58,12.1,0.0,1385.0,0.0,36.8,2.1,86.6,1327.0,7.3,0.0,90500.0,7.5,79.0,0.0,275.0,77.5,124707.0,10757.0,14.8,0.0,27.6,1126.0,5804.0,1.2,3.03,7091.0,21.0,19.0,3145.0,0.0,17427.0,18.1,5.3,8978.0,0.0,36447.0,8391.0,2200.0,6131.0
2012,1009,Blount County,Alabama,639,377,89,44,27729,582,392,137,36,28457,4977,2755,2222,0.0,644.78,12.1,0.0,4458.0,0.0,88.9,7.3,88.7,4540.0,4.5,0.0,117100.0,3.4,81.0,0.0,660.0,77.0,319700.0,20941.0,17.0,0.0,33.9,3563.0,5622.0,4.3,2.7,21108.0,23.6,3.0,6798.0,341544.0,20730.0,15.8,6.1,23826.0,23.2,44145.0,23980.0,2961.0,20741.0
2012,1011,Bullock County,Alabama,3858,64,23,46,1865,3594,66,29,35,1159,864,486,378,0.0,622.81,12.5,0.0,417.0,0.0,17.5,5.2,84.7,636.0,8.7,0.0,70600.0,0.0,74.3,0.0,112.0,67.8,43810.0,3670.0,14.9,0.0,26.9,470.0,3995.0,5.4,2.73,3741.0,21.4,1.0,0.0,0.0,18628.0,21.6,6.3,4461.0,38.8,32033.0,5318.0,4058.0,1250.0
2012,1013,Butler County,Alabama,4021,71,117,8,5419,4875,59,112,10,5872,258,148,110,0.0,776.83,14.0,0.0,1769.0,0.0,27.0,1.7,94.6,1497.0,13.3,3.3,74700.0,2.7,70.3,0.0,393.0,76.3,229277.0,28427.0,18.0,56712.0,24.0,1095.0,11326.0,0.8,2.47,8235.0,23.6,2.0,5711.0,399132.0,17403.0,28.4,6.1,9916.0,0.0,29918.0,9483.0,4367.0,5081.0
2012,1015,Calhoun County,Alabama,11769,670,611,119,44345,13703,638,769,124,46640,4253,2313,1940,7.2,605.87,16.1,0.0,8713.0,0.0,195.7,4.5,83.6,11385.0,13.8,1.6,100600.0,0.6,68.7,0.5,2311.0,78.6,1542981.0,186533.0,16.0,0.0,22.5,6352.0,13678.0,2.4,2.54,45196.0,22.2,114.0,34871.0,2679991.0,20828.0,21.9,5.7,53289.0,24.7,39962.0,46240.0,15500.0,30272.0
2012,1017,Chambers County,Alabama,6235,109,132,19,9946,7276,105,123,14,10507,646,390,256,0.0,596.53,11.8,0.0,1981.0,0.0,57.4,1.3,85.8,2691.0,11.1,0.0,81200.0,-0.2,67.9,0.0,515.0,75.1,264650.0,23237.0,18.3,0.0,24.6,2354.0,7620.0,1.1,2.46,13722.0,21.4,8.0,6431.0,667283.0,19291.0,24.1,5.9,16894.0,29.3,32402.0,14562.0,6853.0,7596.0
2012,1019,Cherokee County,Alabama,698,181,45,12,12207,650,162,53,8,12392,401,201,200,0.0,553.7,12.8,0.0,2180.0,0.0,46.9,1.1,90.6,2174.0,4.6,0.0,99400.0,5.5,76.1,0.0,379.0,78.3,186321.0,13948.0,20.9,62293.0,26.9,1560.0,7613.0,0.7,2.2,11656.0,20.4,2.0,3864.0,307439.0,22030.0,21.2,4.8,16241.0,14.5,34907.0,9761.0,2126.0,7494.0
